Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description,Funding_Type,Funding_num,Country_Grouped,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,OA_Lunar,OA_Suborbital,TT_Balloon,TT_Other,TT_Plane,TT_Rocket,TT_Spaceplane,Funding_Missing
Rocket Lab,9,300,4.9,16333,257.31,Small,LEO,Rocket,United States,"Long Beach, CA",The first rocket company and launch site for cubesat payloads in New Zealand,Private (reported),257.31,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
Virgin Galactic/The Spaceship Company,9,372,1.5,4032,Public,Tourism,Suborbital,Spaceplane,United States,"Mojave, CA",Building a fleet of WhiteKnightTwo carrier aircraft and SpaceShipTwo reusable spaceships,Public,13.844999999999999,United States,0,0,0,1,0,0,1,0,0,0,0,1,1
Zephalto,5,0,0.0,0,,Tourism,Suborbital,Balloon,France,Le Pouget,Providing passengers with a trip into the stratosphere,Unknown,13.844999999999999,France,0,0,0,1,0,0,1,1,0,0,0,0,1
Launch Tech Space,1,0,0.0,0,,Small,LEO,Other,United States,"Pasadena, CA","Developing an eco friendly, electromagnetic space launch system",Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,1,0,0,0,1
New Rocket Technologies,2,500,9.0,18000,,Small,LEO,Rocket,Russia,Moscow,"Building light, two-stage rockets for small satellite launch",Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
iSpace,8,300,5.0,16667,275.00,Small,LEO,Rocket,China,Beijing,iSpace is a Chinese private space launch company developing the Hyperbola rocket family,Private (reported),275.0,China,0,0,1,0,1,0,0,0,0,0,1,0,0
Pythom,4,100,1.2,12000,0.75,Small,LEO,Rocket,United States,"Bishop, CA","Pythom is creating a custom-built, two-person craft to explore Mars",Private (reported),0.75,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
Project S3,1,250,0.0,0,,Small,,Spaceplane,Croatia,Zagreb,Aiming to provide orbital launches of small satellites for the most affordable prices,Unknown,13.844999999999999,Other,0,0,1,0,0,0,0,0,0,0,0,1,1
POLARIS,2,1150,0.0,0,,Small,LEO,Spaceplane,Germany,,"Developing a novel, reusable hypersonic and space launch system",Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,0,1,1
Forever Space,1,0,0.05,0,,Small,Lunar,Other,United States,"San Francisco, CA",Developing the Otis electric vehicle for civil space transportation,Unknown,13.844999999999999,United States,0,0,1,0,0,1,0,0,1,0,0,0,1
Suborbitality,1,75,0.0,5000,,Small,Suborbital,Rocket,Czech Republic,Prague,"Creating a dedicated, reusable, and low-cost suborbital rocket",Unknown,13.844999999999999,Other,0,0,1,0,0,0,1,0,0,0,1,0,1
bluShift Aerospace,4,30,0.0,0,,Small,LEO,Rocket,United States,"Brunswick, ME",Developing a unique line of rockets powered by bio-derived fuels to launch tiny satellites into space,Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Rocket Factory Augsburg (by OHB),5,1350,0.0,0,,Small,LEO,Rocket,Germany,Augsburg,Offering hassle-free space transportation to dedicated orbits,Unknown,13.844999999999999,Other,0,0,1,0,1,0,0,0,0,0,1,0,1
RocketStar,3,300,6.0,20000,,Small,LEO,Rocket,United States,"New York, NY","We offer rideshare and dedicated launch opportunities at severe discounts to other launch providers, and can go from first conversation to launch in 18 months or less",Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,1,0,1
Orienspace,5,6500,0.0,0,171.90,Medium,LEO,Rocket,China,,Developing the sea-launched Gravity-1 vehicle,Private (reported),171.9,China,0,1,0,0,1,0,0,0,0,0,1,0,0
Timewarp Space,0,150,0.0,0,,Small,LEO,Rocket,India,"Bangalore, Karnataka",Dedicated to providing frequent and reliable space access,Unknown,13.844999999999999,India,0,0,1,0,1,0,0,0,0,0,1,0,1
Vaya Space,5,1000,9.0,9000,9.00,Small,LEO,Rocket,United States,"Cocoa, FL","Offering flexible launch capability with a cycle of less than thirty days to build, integrate, and launch",Private (reported),9.0,United States,0,0,1,0,1,0,0,0,0,0,1,0,0
Maritime Launch Services,5,5000,45.0,9000,,Medium,LEO,Rocket,Canada,"Halifax, Nova Scotia","Building up Canada's NewSpace industry as the first private launch provider in Canso, Nova Scotia",Unknown,13.844999999999999,Other,0,1,0,0,1,0,0,0,0,0,1,0,1
