const,log_Payload (kg),log_Launch Cost ($M),log_Price ($/kg),log_Funding_num,Country_Grouped_France,Country_Grouped_India,Country_Grouped_Other,Country_Grouped_United Kingdom,Country_Grouped_United States,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,TT_Balloon,TT_Other,TT_Plane,TT_Spaceplane,Funding_Missing,SFR
1.0,3.828641396489095,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
1.0,6.2166061010848646,0.0,0.0,4.318820558770089,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
1.0,5.081404364984463,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,4.61512051684126,0.0,0.0,1.7884205679625405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
1.0,7.313886831633462,1.3862943611198906,7.601402334583733,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0
1.0,4.61512051684126,0.4054651081081644,8.517393171418904,5.017279836814924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
1.0,0.0,0.0,10.12667110305036,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
1.0,6.90875477931522,0.0,0.0,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,5.5254529391317835,1.6094379124341003,9.680406499268875,2.697663108215723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,5.303304908059076,1.7047480922384253,10.021315031649332,2.697663108215723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
1.0,0.0,0.0,5.707110264748875,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
1.0,5.017279836814924,0.0,0.0,2.697663108215723,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,5.303304908059076,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,4.61512051684126,0.7884573603642702,9.392745258631441,2.7459880404426023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,7.725771441587952,0.0,0.0,3.349904087274605,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
1.0,5.303304908059076,1.4350845252893227,9.680406499268875,4.762173934797756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
1.0,6.2166061010848646,2.172476407647025,9.65252306301951,2.3702437414678603,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0,2.3978952727983707,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,3.9318256327243257,0.0,0.0,2.697663108215723,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
1.0,5.017279836814924,1.0986122886681096,9.498072443178005,2.4849066497880004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,3.9318256327243257,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
1.0,5.303304908059076,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,5.017279836814924,0.0,10.308985993422082,0.7654678421395714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
1.0,9.741027444837728,0.0,6.7580945044277305,4.568194949863196,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
1.0,8.517393171418904,0.0,9.575052927597383,5.497168225293202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,5.3981627015177525,0.0,0.0,3.7020424406402173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0,5.5254529391317835,1.791759469228055,9.90353755128617,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0
1.0,5.707110264748875,0.0,0.0,3.337192051686243,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
1.0,3.4339872044851463,0.6418538861723948,10.308985993422082,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
1.0,4.61512051684126,1.3862943611198906,10.308985993422082,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
1.0,8.006700845440367,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,5.484796933490655,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,4.61512051684126,0.6931471805599453,9.210440366976517,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
1.0,5.707110264748875,1.7749523509116738,9.70100410391822,5.5541604140252625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
1.0,5.921578419643816,0.9162907318741551,8.302265794873367,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,6.2166061010848646,2.302585092994046,9.798182590890704,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,5.707110264748875,1.791759469228055,9.721245992542345,5.62040086571715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
1.0,4.61512051684126,0.7884573603642702,9.392745258631441,0.5596157879354227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,5.5254529391317835,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,7.048386408721883,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
1.0,4.330733340286331,0.0,8.517393171418904,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,3.4339872044851463,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
